country,year,scheme,amount
Austria,2023,EAFRD,641234035.38
Austria,2023,EAGF,709540177.09
Austria,2023,National,599729651.23
Bulgaria,2023,EAFRD,546028708.56
Bulgaria,2023,EAGF,1624341949.55
Bulgaria,2023,National,804708345.29
Czechia,2023,EAFRD,9354022265.89
Czechia,2023,EAGF,21405869191.72
Czechia,2023,National,5890523913.97
Germany,2023,EAFRD,1571713057.03
Germany,2023,EAGF,4651114508.09
Germany,2023,National,605790.28
Denmark,2023,EAFRD,111484195.61620001
Denmark,2023,EAGF,813833201.5462
Denmark,2023,National,27323466.638600003
Estonia,2023,EAFRD,126802751.75
Estonia,2023,EAGF,196043862.19
Estonia,2023,National,26723134.37
Spain,2023,EAFRD,1383256958.24
Spain,2023,EAGF,5657989634.41
Spain,2023,National,560421168.02
Finland,2023,EAFRD,272386511.4
Finland,2023,EAGF,528506453.67
Finland,2023,National,356209718.28
France,2023,EAFRD,2086.4
France,2023,EAGF,10114199121.63
France,2023,National,521.6
Croatia,2023,EAGF,827331717.75
Croatia,2023,National,117984002.86
Hungary,2023,EAFRD,1826778936.682964
Hungary,2023,EAGF,1409687671.9738631
Hungary,2023,National,333819506.482085
Ireland,2023,EAFRD,447432621.29
Ireland,2023,EAGF,1184953371.49
Ireland,2023,National,3279560.77
Italy,2023,EAFRD,1367668317.34
Italy,2023,EAGF,2735647260.85
Italy,2023,National,1256511101.24
Lithuania,2023,EAFRD,200350932.88
Lithuania,2023,EAGF,326462747.75
Lithuania,2023,National,402455.77
Latvia,2023,EAFRD,153698081.49
Latvia,2023,EAGF,323731126.59
Latvia,2023,National,47092503.29
Netherlands,2023,EAFRD,163101662.69
Netherlands,2023,EAGF,690885007.97
Netherlands,2023,National,42051822.47
Slovakia,2023,EAFRD,157957954.82
Slovakia,2023,EAGF,402353452.75
Austria,2024,EAFRD,616128335.8
Austria,2024,EAGF,696482665.17
Austria,2024,National,579166114.13
Bulgaria,2024,EAFRD,696114245.72
Bulgaria,2024,EAGF,1614020660.83
Bulgaria,2024,National,1072235252.63
Czechia,2024,EAFRD,237943322.117199
Czechia,2024,EAGF,815110310.8329294
Czechia,2024,National,323710471.5460074
Germany,2024,EAFRD,1654786642.42
Germany,2024,EAGF,4431292857.28
Germany,2024,National,143959352.18
Denmark,2024,EAFRD,167139085.472
Denmark,2024,EAGF,822957192.122
Denmark,2024,National,30654088.034
Estonia,2024,EAFRD,97474965.43
Estonia,2024,EAGF,196048597.87
Estonia,2024,National,19262954.96
Spain,2024,EAFRD,2069329012.68
Spain,2024,EAGF,4152254180.7
Spain,2024,National,1027041662.8
Finland,2024,EAFRD,295178448.8
Finland,2024,EAGF,530568054.85
Finland,2024,National,693869270.04
France,2024,EAFRD,2496536894.36
France,2024,EAGF,7363428187.63
France,2024,National,431564045.93
Croatia,2024,EAGF,685303466.26
Croatia,2024,National,213029386.67
Hungary,2024,EAFRD,524958934.63
Hungary,2024,EAGF,1384019379.23
Hungary,2024,National,882967677.46
Ireland,2024,EAFRD,607574311.15
Ireland,2024,EAGF,1185898264.66
Ireland,2024,National,305293069.62
Italy,2024,EAFRD,1695297929.72
Italy,2024,EAGF,3920345175.99
Italy,2024,National,1558778061.33
Latvia,2024,EAFRD,124636206.17
Latvia,2024,EAGF,339112826.79
Latvia,2024,National,38442560.31
Netherlands,2024,EAFRD,214915155.95
Netherlands,2024,EAGF,746898047.37
Netherlands,2024,National,61430652.56
Sweden,2024,EAFRD,195468378.09
Sweden,2024,EAGF,713139371.29
Slovakia,2024,EAGF,359035365.16
Slovakia,2024,National,94595062.96
