country,year,count,mean,std,min,25%,50%,75%,max
Austria,2024,102814.0,18399.995283716224,180947.14388609983,0.03,3647.3125,10032.3,20062.752500000002,55069857.76
Belgium,2024,11075.0,9596.828021670428,25215.853206041564,-29007.55,686.395,2136.0499999999997,8750.07,897871.79
Bulgaria,2024,49722.0,68025.62566228228,312892.60784624546,8.08,7144.51,18380.574999999997,47637.045,48733477.83
Czechia,2024,31247.0,44060.6811692686,132069.54108369874,-3086317.86276,1787.00740305,7572.686067,33259.598505899994,5124023.24703
Germany,2024,229489.0,27147.439972634853,132946.34008998596,270.77,4082.95,10734.48,25251.460000000003,29878515.96
Denmark,2024,28162.0,36245.66314991833,124588.9447071368,1249.282,3193.3875000000003,9035.687000000002,35188.2325,13316831.158
Estonia,2024,18823.0,16617.25114275089,69681.33531637807,10.59,466.07,1250.0,6656.1,3650811.81
Spain,2024,607824.0,11925.532483383347,203467.63625269782,-9962958.22,1015.5875,2854.3450000000003,10252.794999999998,104927514.17
Finland,2024,10990.0,138272.59087261147,9413929.04195562,16.41,5485.530000000001,15158.455,48684.305,986876983.23
France,2024,286176.0,35962.236972772,145490.27839546071,-400000.0,7497.0,22307.89,42995.567500000005,30914000.0
United Kingdom,2024,139372.0,15899.479316954477,56299.422911372036,0.011811,2079.751746,6213.141117,16452.47792175,6250440.9872820005
Greece,2024,585519.0,4564.093815862508,43850.30786783986,-723871.59,587.515,1416.21,4000.12,22888883.2
Croatia,2024,110276.0,8146.222686078567,89063.511202408,-341922.1000000001,643.1400000000001,1358.585,3707.4375,16842485.48
Hungary,2024,221494.0,12605.063754864692,107886.34393107945,-13156411.639999999,191.6325,388.475,2906.0724999999998,9455925.200000001
Ireland,2024,92891.0,22593.85349958554,58922.74933441205,3.0,7076.935,15497.68,26399.58,8598579.1
Italy,2024,693312.0,10348.041238345795,93649.4953143416,-14816020.53,746.37,1826.8700000000001,6845.275,32162854.95
Luxembourg,2024,1471.0,48856.44581237253,46638.83705105023,142.09,13486.515,41505.88,68557.545,538168.58
Latvia,2024,54076.0,9286.774045232634,62533.10146594461,5.63,500.0,925.0550000000001,3517.79,6054824.5
Netherlands,2024,43466.0,23541.24731698339,356220.0542748559,-164220.71,3653.6775,10267.665,20168.097499999996,50594878.53
Poland,2024,206699.0,2247.3304528023987,4693.327487771898,168.246969,477.942641,919.7101759999999,2145.0484715000002,302317.656311
Portugal,2024,197700.0,8193.68805988872,86855.20725610844,-1653246.58,837.23,1702.9,4875.4725,29093766.22
Sweden,2024,51550.0,17625.756535014552,52181.75816367287,-36984.41,1327.52,3453.6900000000005,14581.255,5613921.05
Slovakia,2024,15789.0,28730.789037937804,94944.58365339355,-42340.31,610.06,2074.2200000000003,11977.46,2512402.05
Austria,2023,103420.0,18860.02575614001,165160.8431652594,0.51,3623.82,10018.485,20803.9625,49797136.94
Belgium,2023,14824.0,7181.722726659471,20577.162179425733,-63000.0,458.4675,1590.0,5982.2075,723378.18
Bulgaria,2023,48290.0,61608.593982190934,192332.5668343528,21.85,7108.0,19034.989999999998,47642.770000000004,11372645.97
Czechia,2023,32415.0,1130662.2048921795,3754257.3112271777,-2245047.0,31928.754999999997,139975.02000000002,633781.25,167928754.94
Germany,2023,233540.0,26648.25449773058,117659.18354970246,168.07,4007.7425,10582.685000000001,25395.0325,30103903.12
Denmark,2023,28192.0,33791.17706445091,87632.22607891282,1247.6574,2981.3871999999997,9025.9565,36305.83055,6387370.048400001
Estonia,2023,19558.0,17873.491579404847,108854.74426901764,10.21,594.0,1614.12,7350.165,10531470.29
Spain,2023,648314.0,11725.287068719786,159951.70749234915,-570034.09,900.51,2520.75,9664.494999999999,62072576.38999999
Finland,2023,14354.0,80611.86312874459,5673920.289983065,0.16,3115.96,9111.715,29148.62,679730291.06
France,2023,276901.0,36526.41821311588,113498.33701629403,-3453.3,8819.4,23331.170000000002,43590.71,30914000.0
United Kingdom,2023,142268.0,23490.152124272703,91222.00230419816,0.011495,3462.09571125,9749.875080000002,24660.47639,15793721.984974999
Greece,2023,606485.0,5047.957737305951,51889.40333499336,-728654.1,689.79,1532.69,4372.82,31476622.35
Croatia,2023,113472.0,8330.828051061055,125248.33929375962,0.01,758.895,1540.005,4019.8925,32955392.35
Hungary,2023,81717.0,43690.86132798454,200004.28673767252,-6131806.511209,2843.999922,7551.871574000001,23338.967084,14818313.097558
Ireland,2023,92172.0,17745.796484290244,59042.96429375271,0.27,4309.4725,10177.825,19862.655,8846769.100000001
Italy,2023,86279.0,62122.03061498163,312563.3803008587,16681.77,23003.47,33820.4,57445.674999999996,58642101.54
Lithuania,2023,56623.0,9310.989110432156,62956.87868963636,3.17,500.0,1100.94,3474.72,7500540.6
Luxembourg,2023,1476.0,41739.71145663957,69148.17151508921,112.16999999999999,8730.5975,29372.75,47941.8,797439.8200000001
Latvia,2023,56614.0,9264.876379870704,62692.058518735954,3.17,500.0,1100.345,3472.825,7500540.6
Netherlands,2023,42833.0,20919.349406532347,182237.21042798544,-213000.0,4065.7,10484.0,20481.27,20045113.380000003
Poland,2023,210686.0,2089.372796235403,4127.806663402341,275.502204,472.092392,911.3385720000001,2181.984244,472153.043876
Portugal,2023,202629.0,8025.180232493868,50016.71907852235,-325357.09,975.3000000000001,1659.7,4671.45,8479064.25
Romania,2023,32765.0,21688.818318022277,116855.17850314887,0.03,417.98,1186.8600000000001,9328.84,10739904.23
Sweden,2023,47891.0,23331.678889313647,114917.21334510953,-71078.28272,1819.94438,4929.68244,19557.70166,18270721.9406
Slovakia,2023,18567.0,30177.81050088867,113628.69082909527,-1006545.48,807.7049999999999,2232.2999999999997,10277.515,3913990.5
